Seed	Name	Perfection	Weapon_Projectile_Damage	Weapon_Projectile_ReloadTime	Weapon_Projectile_BurstCap
88866	Copper Heat Pump	0.47	+1%	-7%
88867	Enhanced Trigger	0.4	+1%	-6%
88868	Gold-Plated Trigger	0.53	+1%	-8%
88869	Enhanced Muzzle	0.73	+1%	-6%	+1.0
88870	Gold-Plated Trigger	0.67	+1%		+1.0
88871	Enhanced Heat Pump	0.67	+1%	-10%
88872	Enhanced Wiring	0.47	+1%	-7%
88873	Enhanced Shells	0.53	+1%	-8%
88874	Copper Barrel	0.47	+1%	-7%
88875	Gold-Plated Wiring	0.67	+1%		+1.0
88876	Copper Dynamo	0.53	+1%	-8%
88877	Gold-Plated Launch System	0.67	+1%		+1.0
88878	Pressurised Barrel	0.67	+1%		+1.0
88879	Reinforced Barrel	0.67	+1%		+1.0
88880	Reinforced Internals	0.67	+1%		+1.0
88881	Enhanced Dynamo	0.67	+1%		+1.0
88882	Reinforced Shells	0.47	+1%	-7%
88883	Reinforced Shells	0.8	+1%	-7%	+1.0
88884	Reinforced Trigger	0.8	+1%	-7%	+1.0
88885	Gold-Plated Shells	0.67	+1%	-10%
88886	Reinforced Compression Unit	0.6	+1%	-9%
88887	Enhanced Compression Unit	0.47	+1%	-7%
88888	Gold-Plated Internals	0.67	+1%		+1.0
88889	Enhanced Internals	0.4	+1%	-6%
88890	Pressurised Compression Unit	0.4	+1%	-6%
88891	Gold-Plated Barrel	0.67	+1%		+1.0
88892	Enhanced Muzzle	0.67	+1%		+1.0
88893	Enhanced Muzzle	0.73	+1%	-6%	+1.0
88894	Pressurised Launch System	0.53	+1%	-8%
88895	Enhanced Shells	0.67	+1%		+1.0
88896	Enhanced Dynamo	0.8	+1%	-7%	+1.0
88897	Copper Wiring	0.4	+1%	-6%
88898	Reinforced Trigger	0.87	+1%	-8%	+1.0
88899	Gold-Plated Dynamo	0.67	+1%		+1.0
88900	Copper Launch System	0.67	+1%		+1.0
88901	Reinforced Trigger	0.4	+1%	-6%
88902	Gold-Plated Heat Pump	0.67	+1%		+1.0
88903	Copper Launch System	0.93	+1%	-9%	+1.0
88904	Gold-Plated Trigger	0.67	+1%		+1.0
88905	Reinforced Trigger	0.47	+1%	-7%
88906	Pressurised Internals	0.67	+1%		+1.0
88907	Gold-Plated Barrel	0.4	+1%	-6%
88908	Enhanced Trigger	0.4	+1%	-6%
88909	Pressurised Shells	0.53	+1%	-8%
88910	Enhanced Shells	0.6	+1%	-9%
88911	Gold-Plated Internals	0.67	+1%		+1.0
88912	Enhanced Wiring	0.67	+1%		+1.0
88913	Pressurised Barrel	0.67	+1%		+1.0
88914	Gold-Plated Barrel	0.4	+1%	-6%
88915	Gold-Plated Shells	0.67	+1%		+1.0
88916	Enhanced Compression Unit	0.67	+1%		+1.0
88917	Copper Muzzle	0.67	+1%		+1.0
88918	Enhanced Dynamo	0.67	+1%		+1.0
88919	Gold-Plated Wiring	0.67	+1%		+1.0
88920	Copper Compression Unit	0.67	+1%	-10%
88921	Gold-Plated Internals	0.47	+1%	-7%
88922	Gold-Plated Wiring	0.53	+1%	-8%
88923	Pressurised Trigger	0.47	+1%	-7%
88924	Gold-Plated Trigger	0.4	+1%	-6%
88925	Copper Barrel	0.67	+1%	-10%
88926	Reinforced Compression Unit	0.4	+1%	-6%
88927	Reinforced Shells	0.67	+1%		+1.0
88928	Gold-Plated Barrel	0.67	+1%		+1.0
88929	Pressurised Wiring	0.53	+1%	-8%
88930	Copper Internals	0.53	+1%	-8%
88931	Gold-Plated Barrel	0.8	+1%	-7%	+1.0
88932	Copper Internals	0.67	+1%		+1.0
88933	Copper Wiring	0.6	+1%	-9%
88934	Reinforced Trigger	0.67	+1%		+1.0
88935	Enhanced Wiring	0.47	+1%	-7%
88936	Reinforced Wiring	0.67	+1%		+1.0
88937	Enhanced Compression Unit	0.73	+1%	-6%	+1.0
88938	Reinforced Internals	0.87	+1%	-8%	+1.0
88939	Gold-Plated Internals	0.4	+1%	-6%
88940	Pressurised Heat Pump	0.67	+1%		+1.0
88941	Gold-Plated Barrel	0.73	+1%	-6%	+1.0
88942	Enhanced Wiring	0.8	+1%	-7%	+1.0
88943	Enhanced Heat Pump	0.4	+1%	-6%
88944	Gold-Plated Trigger	0.87	+1%	-8%	+1.0
88945	Gold-Plated Heat Pump	0.47	+1%	-7%
88946	Pressurised Compression Unit	0.4	+1%	-6%
88947	Pressurised Barrel	0.73	+1%	-6%	+1.0
88948	Pressurised Muzzle	0.67	+1%		+1.0
88949	Pressurised Wiring	0.67	+1%		+1.0
88950	Gold-Plated Launch System	0.4	+1%	-6%
88951	Enhanced Shells	0.47	+1%	-7%
88952	Enhanced Dynamo	0.8	+1%	-7%	+1.0
88953	Gold-Plated Heat Pump	0.73	+1%	-6%	+1.0
88954	Copper Barrel	0.73	+1%	-6%	+1.0
88955	Enhanced Compression Unit	0.73	+1%	-6%	+1.0
88956	Copper Heat Pump	0.67	+1%		+1.0
88957	Reinforced Internals	0.67	+1%		+1.0
88958	Gold-Plated Barrel	0.67	+1%		+1.0
88959	Gold-Plated Trigger	0.73	+1%	-6%	+1.0
88960	Enhanced Compression Unit	0.4	+1%	-6%
88961	Pressurised Barrel	0.4	+1%	-6%
88962	Reinforced Shells	0.67	+1%		+1.0
88963	Copper Barrel	0.67	+1%		+1.0
88964	Gold-Plated Shells	0.67	+1%		+1.0
88965	Copper Dynamo	0.67	+1%		+1.0
88966	Reinforced Muzzle	0.4	+1%	-6%
88967	Copper Heat Pump	0.67	+1%		+1.0
88968	Reinforced Shells	0.4	+1%	-6%
88969	Reinforced Shells	0.67	+1%		+1.0
88970	Pressurised Shells	0.8	+1%	-7%	+1.0
88971	Copper Trigger	0.67	+1%		+1.0
88972	Pressurised Compression Unit	0.4	+1%	-6%
88973	Gold-Plated Barrel	0.4	+1%	-6%
88974	Pressurised Internals	0.4	+1%	-6%
88975	Pressurised Compression Unit	0.67	+1%		+1.0
88976	Gold-Plated Barrel	0.67	+1%		+1.0
88977	Gold-Plated Heat Pump	0.4	+1%	-6%
88978	Reinforced Barrel	0.67	+1%		+1.0
88979	Copper Dynamo	0.4	+1%	-6%
88980	Pressurised Launch System	0.6	+1%	-9%
88981	Pressurised Barrel	0.67	+1%		+1.0
88982	Reinforced Compression Unit	0.53	+1%	-8%
88983	Pressurised Barrel	0.67	+1%		+1.0
88984	Gold-Plated Barrel	0.67	+1%		+1.0
88985	Enhanced Muzzle	0.4	+1%	-6%
88986	Gold-Plated Muzzle	0.67	+1%		+1.0
88987	Reinforced Wiring	0.47	+1%	-7%
88988	Copper Muzzle	0.4	+1%	-6%
88989	Reinforced Launch System	0.67	+1%		+1.0
88990	Reinforced Trigger	0.4	+1%	-6%
88991	Enhanced Launch System	0.67	+1%		+1.0
88992	Copper Barrel	0.47	+1%	-7%
88993	Pressurised Dynamo	0.67	+1%		+1.0
88994	Enhanced Compression Unit	0.67	+1%		+1.0
88995	Reinforced Dynamo	0.67	+1%		+1.0
88996	Gold-Plated Heat Pump	0.67	+1%		+1.0
88997	Reinforced Barrel	0.4	+1%	-6%
88998	Pressurised Heat Pump	0.67	+1%		+1.0
88999	Gold-Plated Trigger	0.67	+1%		+1.0
89000	Gold-Plated Compression Unit	0.67	+1%		+1.0
89001	Pressurised Compression Unit	0.67	+1%		+1.0
89002	Pressurised Trigger	0.4	+1%	-6%
89003	Reinforced Dynamo	0.53	+1%	-8%
89004	Enhanced Wiring	0.53	+1%	-8%
89005	Reinforced Compression Unit	0.67	+1%		+1.0
89006	Copper Muzzle	0.4	+1%	-6%
89007	Reinforced Heat Pump	0.4	+1%	-6%
89008	Reinforced Muzzle	0.4	+1%	-6%
89009	Copper Launch System	0.53	+1%	-8%
89010	Pressurised Wiring	0.67	+1%		+1.0
89011	Pressurised Launch System	0.93	+1%	-9%	+1.0
89012	Reinforced Compression Unit	0.67	+1%	-10%
89013	Enhanced Trigger	0.73	+1%	-6%	+1.0
89014	Reinforced Barrel	0.67	+1%		+1.0
89015	Gold-Plated Shells	0.67	+1%		+1.0
89016	Reinforced Wiring	0.4	+1%	-6%
89017	Pressurised Internals	0.67	+1%		+1.0
89018	Copper Trigger	0.67	+1%		+1.0
89019	Enhanced Compression Unit	0.67	+1%		+1.0
89020	Copper Compression Unit	0.4	+1%	-6%
89021	Copper Heat Pump	0.67	+1%		+1.0
89022	Gold-Plated Shells	0.67	+1%		+1.0
89023	Reinforced Barrel	0.67	+1%		+1.0
89024	Enhanced Barrel	0.67	+1%		+1.0
89025	Reinforced Shells	0.6	+1%	-9%
89026	Gold-Plated Launch System	0.67	+1%		+1.0
89027	Gold-Plated Dynamo	0.73	+1%	-6%	+1.0
89028	Enhanced Barrel	0.67	+1%		+1.0
89029	Gold-Plated Heat Pump	0.73	+1%	-6%	+1.0
89030	Gold-Plated Wiring	0.6	+1%	-9%
89031	Enhanced Barrel	0.67	+1%		+1.0
89032	Enhanced Dynamo	0.6	+1%	-9%
89033	Copper Barrel	0.73	+1%	-6%	+1.0
89034	Enhanced Heat Pump	0.53	+1%	-8%
89035	Reinforced Barrel	0.8	+1%	-7%	+1.0
89036	Enhanced Launch System	0.67	+1%	-10%
89037	Pressurised Wiring	0.67	+1%		+1.0
89038	Gold-Plated Shells	0.73	+1%	-6%	+1.0
89039	Copper Internals	0.47	+1%	-7%
89040	Reinforced Compression Unit	0.67	+1%		+1.0
89041	Enhanced Dynamo	0.4	+1%	-6%
89042	Pressurised Launch System	0.4	+1%	-6%
89043	Gold-Plated Internals	0.67	+1%		+1.0
89044	Reinforced Trigger	0.67	+1%		+1.0
89045	Gold-Plated Launch System	0.67	+1%	-10%
89046	Copper Dynamo	0.67	+1%		+1.0
89047	Enhanced Dynamo	0.4	+1%	-6%
89048	Enhanced Barrel	0.53	+1%	-8%
89049	Copper Launch System	0.53	+1%	-8%
89050	Pressurised Shells	0.67	+1%	-10%
89051	Copper Shells	0.67	+1%		+1.0
89052	Copper Shells	0.8	+1%	-7%	+1.0
89053	Copper Barrel	0.67	+1%		+1.0
89054	Enhanced Barrel	0.4	+1%	-6%
89055	Enhanced Internals	0.4	+1%	-6%
89056	Pressurised Barrel	0.4	+1%	-6%
89057	Copper Shells	0.67	+1%		+1.0
89058	Gold-Plated Compression Unit	0.67	+1%		+1.0
89059	Enhanced Trigger	0.67	+1%		+1.0
89060	Pressurised Muzzle	0.67	+1%		+1.0
89061	Gold-Plated Launch System	0.6	+1%	-9%
89062	Pressurised Muzzle	0.67	+1%		+1.0
89063	Reinforced Trigger	0.4	+1%	-6%
89064	Copper Trigger	0.73	+1%	-6%	+1.0
89065	Reinforced Trigger	0.67	+1%		+1.0
89066	Pressurised Shells	0.67	+1%		+1.0
89067	Reinforced Barrel	0.73	+1%	-6%	+1.0
89068	Pressurised Shells	0.87	+1%	-8%	+1.0
89069	Enhanced Shells	0.87	+1%	-8%	+1.0
89070	Pressurised Launch System	0.53	+1%	-8%
89071	Enhanced Shells	0.67	+1%		+1.0
89072	Pressurised Heat Pump	0.8	+1%	-7%	+1.0
89073	Copper Trigger	0.67	+1%		+1.0
89074	Pressurised Muzzle	0.67	+1%		+1.0
89075	Reinforced Shells	0.67	+1%		+1.0
89076	Enhanced Dynamo	0.4	+1%	-6%
89077	Gold-Plated Barrel	0.67	+1%		+1.0
89078	Copper Muzzle	0.53	+1%	-8%
89079	Gold-Plated Muzzle	0.67	+1%		+1.0
89080	Enhanced Muzzle	0.47	+1%	-7%
89081	Enhanced Launch System	0.67	+1%	-10%
89082	Enhanced Muzzle	0.67	+1%		+1.0
89083	Copper Compression Unit	1.0	+1%	-10%	+1.0
89084	Copper Launch System	0.73	+1%	-6%	+1.0
89085	Pressurised Internals	0.67	+1%	-10%
89086	Reinforced Dynamo	0.67	+1%		+1.0
89087	Pressurised Trigger	0.67	+1%		+1.0
89088	Gold-Plated Shells	0.4	+1%	-6%
89089	Pressurised Trigger	1.0	+1%	-10%	+1.0
89090	Enhanced Barrel	0.4	+1%	-6%
89091	Copper Trigger	0.67	+1%		+1.0
89092	Copper Barrel	0.73	+1%	-6%	+1.0
89093	Pressurised Heat Pump	0.73	+1%	-6%	+1.0
89094	Pressurised Shells	0.4	+1%	-6%
89095	Enhanced Internals	0.67	+1%		+1.0
89096	Gold-Plated Barrel	0.73	+1%	-6%	+1.0
89097	Gold-Plated Trigger	0.67	+1%		+1.0
89098	Pressurised Muzzle	0.4	+1%	-6%
89099	Enhanced Heat Pump	0.67	+1%		+1.0
89100	Pressurised Muzzle	0.47	+1%	-7%
89101	Pressurised Launch System	0.47	+1%	-7%
89102	Copper Internals	0.4	+1%	-6%
89103	Reinforced Launch System	0.4	+1%	-6%
89104	Gold-Plated Shells	0.47	+1%	-7%
89105	Gold-Plated Dynamo	0.47	+1%	-7%
89106	Enhanced Internals	0.67	+1%		+1.0
89107	Copper Heat Pump	0.4	+1%	-6%
89108	Copper Launch System	0.67	+1%		+1.0
89109	Enhanced Trigger	0.47	+1%	-7%
89110	Enhanced Internals	0.4	+1%	-6%
89111	Pressurised Compression Unit	0.4	+1%	-6%
89112	Gold-Plated Barrel	0.4	+1%	-6%
89113	Enhanced Dynamo	0.67	+1%		+1.0
89114	Copper Trigger	0.67	+1%		+1.0
89115	Reinforced Barrel	0.73	+1%	-6%	+1.0
89116	Pressurised Launch System	0.87	+1%	-8%	+1.0
89117	Pressurised Wiring	0.67	+1%		+1.0
89118	Enhanced Muzzle	0.73	+1%	-6%	+1.0
89119	Copper Compression Unit	0.67	+1%		+1.0
89120	Pressurised Launch System	0.47	+1%	-7%
89121	Pressurised Launch System	0.73	+1%	-6%	+1.0
89122	Reinforced Muzzle	0.47	+1%	-7%
89123	Copper Compression Unit	0.67	+1%		+1.0
89124	Reinforced Compression Unit	0.67	+1%		+1.0
89125	Enhanced Barrel	0.67	+1%	-10%
89126	Copper Trigger	0.67	+1%		+1.0
89127	Copper Shells	0.4	+1%	-6%
89128	Reinforced Barrel	0.4	+1%	-6%
89129	Copper Heat Pump	0.67	+1%		+1.0
89130	Copper Barrel	0.8	+1%	-7%	+1.0
89131	Reinforced Shells	0.67	+1%	-10%
89132	Gold-Plated Barrel	0.73	+1%	-6%	+1.0
89133	Enhanced Wiring	0.67	+1%		+1.0
89134	Pressurised Dynamo	0.4	+1%	-6%
89135	Enhanced Internals	0.67	+1%		+1.0
89136	Enhanced Launch System	0.4	+1%	-6%
89137	Gold-Plated Barrel	0.67	+1%		+1.0
89138	Reinforced Shells	0.67	+1%		+1.0
89139	Gold-Plated Compression Unit	0.67	+1%	-10%
89140	Gold-Plated Heat Pump	0.53	+1%	-8%
89141	Pressurised Barrel	0.4	+1%	-6%
89142	Gold-Plated Wiring	0.47	+1%	-7%
89143	Gold-Plated Heat Pump	0.67	+1%		+1.0
89144	Pressurised Barrel	0.6	+1%	-9%
89145	Reinforced Muzzle	0.93	+1%	-9%	+1.0
89146	Pressurised Muzzle	0.67	+1%		+1.0
89147	Copper Dynamo	0.67	+1%		+1.0
89148	Reinforced Shells	0.67	+1%	-10%
89149	Reinforced Dynamo	0.67	+1%		+1.0
89150	Copper Wiring	0.47	+1%	-7%
89151	Pressurised Heat Pump	0.87	+1%	-8%	+1.0
89152	Pressurised Shells	0.67	+1%		+1.0
89153	Enhanced Heat Pump	0.67	+1%		+1.0
89154	Copper Heat Pump	0.53	+1%	-8%
89155	Pressurised Internals	0.67	+1%		+1.0
89156	Copper Trigger	0.67	+1%		+1.0
89157	Reinforced Trigger	0.67	+1%		+1.0
89158	Pressurised Trigger	0.67	+1%		+1.0
89159	Copper Dynamo	0.47	+1%	-7%
89160	Enhanced Wiring	0.4	+1%	-6%
89161	Gold-Plated Compression Unit	0.67	+1%		+1.0
89162	Reinforced Barrel	0.67	+1%		+1.0
89163	Enhanced Heat Pump	0.73	+1%	-6%	+1.0
89164	Reinforced Dynamo	0.4	+1%	-6%
89165	Pressurised Dynamo	0.53	+1%	-8%
89166	Enhanced Dynamo	0.67	+1%		+1.0
89167	Reinforced Internals	0.67	+1%		+1.0
89168	Reinforced Internals	0.67	+1%		+1.0
89169	Gold-Plated Shells	0.87	+1%	-8%	+1.0
89170	Gold-Plated Launch System	0.8	+1%	-7%	+1.0
89171	Reinforced Launch System	0.8	+1%	-7%	+1.0
89172	Copper Dynamo	0.67	+1%		+1.0
89173	Reinforced Barrel	0.67	+1%		+1.0
89174	Reinforced Barrel	0.67	+1%		+1.0
89175	Enhanced Compression Unit	0.67	+1%		+1.0
89176	Gold-Plated Internals	0.4	+1%	-6%
89177	Reinforced Compression Unit	0.67	+1%		+1.0
89178	Gold-Plated Muzzle	0.67	+1%		+1.0
89179	Reinforced Launch System	0.4	+1%	-6%
89180	Pressurised Trigger	0.53	+1%	-8%
89181	Copper Launch System	0.87	+1%	-8%	+1.0
89182	Gold-Plated Wiring	1.0	+1%	-10%	+1.0
89183	Enhanced Muzzle	0.6	+1%	-9%
89184	Copper Compression Unit	0.67	+1%		+1.0
89185	Copper Barrel	0.67	+1%		+1.0
89186	Copper Dynamo	0.67	+1%		+1.0
89187	Gold-Plated Internals	0.4	+1%	-6%
89188	Enhanced Barrel	0.67	+1%	-10%
89189	Reinforced Shells	0.67	+1%		+1.0
89190	Gold-Plated Launch System	0.67	+1%		+1.0
89191	Enhanced Dynamo	0.87	+1%	-8%	+1.0
89192	Reinforced Internals	0.67	+1%		+1.0
89193	Copper Dynamo	0.8	+1%	-7%	+1.0
89194	Reinforced Trigger	0.4	+1%	-6%
89195	Enhanced Heat Pump	0.73	+1%	-6%	+1.0
89196	Pressurised Dynamo	0.67	+1%		+1.0
89197	Enhanced Muzzle	0.67	+1%		+1.0
89198	Reinforced Trigger	0.67	+1%		+1.0
89199	Reinforced Compression Unit	0.67	+1%		+1.0
89200	Pressurised Internals	0.47	+1%	-7%
89201	Reinforced Wiring	0.47	+1%	-7%
89202	Copper Dynamo	0.67	+1%		+1.0
89203	Reinforced Heat Pump	0.6	+1%	-9%
89204	Gold-Plated Barrel	0.4	+1%	-6%
89205	Reinforced Compression Unit	0.47	+1%	-7%
89206	Reinforced Barrel	0.4	+1%	-6%
89207	Enhanced Barrel	0.67	+1%		+1.0
89208	Gold-Plated Shells	0.73	+1%	-6%	+1.0
89209	Copper Trigger	0.67	+1%	-10%
89210	Gold-Plated Internals	0.67	+1%		+1.0
89211	Reinforced Heat Pump	0.53	+1%	-8%
89212	Copper Launch System	0.73	+1%	-6%	+1.0
89213	Reinforced Compression Unit	0.67	+1%		+1.0
89214	Reinforced Internals	0.67	+1%		+1.0
89215	Copper Heat Pump	0.73	+1%	-6%	+1.0
89216	Enhanced Muzzle	0.67	+1%	-10%
89217	Copper Muzzle	0.4	+1%	-6%
89218	Enhanced Shells	0.67	+1%		+1.0
89219	Copper Muzzle	0.4	+1%	-6%
89220	Enhanced Launch System	0.67	+1%		+1.0
89221	Gold-Plated Heat Pump	0.73	+1%	-6%	+1.0
89222	Pressurised Barrel	0.4	+1%	-6%
89223	Enhanced Barrel	0.67	+1%		+1.0
89224	Gold-Plated Compression Unit	0.67	+1%	-10%
89225	Pressurised Trigger	0.47	+1%	-7%
89226	Copper Shells	0.67	+1%		+1.0
89227	Reinforced Dynamo	0.67	+1%		+1.0
89228	Copper Muzzle	0.4	+1%	-6%
89229	Gold-Plated Launch System	0.67	+1%		+1.0
89230	Reinforced Shells	0.67	+1%		+1.0
89231	Enhanced Dynamo	0.67	+1%		+1.0
89232	Reinforced Trigger	0.67	+1%		+1.0
89233	Reinforced Dynamo	0.87	+1%	-8%	+1.0
89234	Pressurised Internals	0.67	+1%		+1.0
89235	Gold-Plated Trigger	1.0	+1%	-10%	+1.0
89236	Copper Heat Pump	0.47	+1%	-7%
89237	Copper Heat Pump	0.67	+1%		+1.0
89238	Reinforced Wiring	0.67	+1%		+1.0
89239	Enhanced Trigger	0.67	+1%		+1.0
89240	Copper Launch System	0.67	+1%		+1.0
89241	Reinforced Muzzle	0.4	+1%	-6%
89242	Enhanced Heat Pump	0.87	+1%	-8%	+1.0
89243	Copper Wiring	0.6	+1%	-9%
89244	Enhanced Muzzle	0.47	+1%	-7%
89245	Pressurised Internals	0.67	+1%		+1.0
89246	Pressurised Muzzle	0.67	+1%		+1.0
89247	Reinforced Launch System	0.47	+1%	-7%
89248	Enhanced Trigger	0.6	+1%	-9%
89249	Enhanced Muzzle	0.47	+1%	-7%
89250	Reinforced Trigger	0.4	+1%	-6%
89251	Enhanced Launch System	0.53	+1%	-8%
89252	Gold-Plated Trigger	0.73	+1%	-6%	+1.0
89253	Enhanced Heat Pump	0.4	+1%	-6%
89254	Copper Heat Pump	0.93	+1%	-9%	+1.0
89255	Pressurised Trigger	0.4	+1%	-6%
89256	Gold-Plated Shells	0.67	+1%		+1.0
89257	Gold-Plated Dynamo	0.67	+1%		+1.0
89258	Reinforced Shells	1.0	+1%	-10%	+1.0
89259	Enhanced Muzzle	0.4	+1%	-6%
89260	Enhanced Internals	0.4	+1%	-6%
89261	Pressurised Barrel	0.67	+1%		+1.0
89262	Copper Internals	0.4	+1%	-6%
89263	Copper Barrel	0.67	+1%		+1.0
89264	Enhanced Compression Unit	0.67	+1%		+1.0
89265	Enhanced Compression Unit	0.4	+1%	-6%
89266	Enhanced Launch System	0.73	+1%	-6%	+1.0
89267	Gold-Plated Launch System	0.67	+1%		+1.0
89268	Reinforced Wiring	0.47	+1%	-7%
89269	Reinforced Shells	0.53	+1%	-8%
89270	Pressurised Wiring	0.4	+1%	-6%
89271	Gold-Plated Shells	0.67	+1%	-10%
89272	Enhanced Compression Unit	0.67	+1%	-10%
89273	Gold-Plated Shells	0.73	+1%	-6%	+1.0
89274	Pressurised Barrel	0.67	+1%		+1.0
89275	Enhanced Internals	0.47	+1%	-7%
89276	Reinforced Wiring	0.47	+1%	-7%
89277	Gold-Plated Wiring	0.4	+1%	-6%
89278	Enhanced Muzzle	0.6	+1%	-9%
89279	Gold-Plated Trigger	0.67	+1%		+1.0
89280	Pressurised Dynamo	0.4	+1%	-6%
89281	Gold-Plated Barrel	0.67	+1%		+1.0
89282	Reinforced Shells	0.47	+1%	-7%
89283	Reinforced Dynamo	0.6	+1%	-9%
89284	Pressurised Dynamo	0.67	+1%		+1.0
89285	Pressurised Compression Unit	0.4	+1%	-6%
89286	Pressurised Muzzle	0.4	+1%	-6%
89287	Reinforced Wiring	0.93	+1%	-9%	+1.0
89288	Pressurised Internals	0.67	+1%		+1.0
89289	Pressurised Barrel	0.53	+1%	-8%
89290	Pressurised Trigger	0.73	+1%	-6%	+1.0
89291	Reinforced Muzzle	0.73	+1%	-6%	+1.0
89292	Copper Barrel	0.73	+1%	-6%	+1.0
89293	Pressurised Wiring	0.93	+1%	-9%	+1.0
89294	Enhanced Trigger	0.73	+1%	-6%	+1.0
89295	Reinforced Launch System	0.47	+1%	-7%
89296	Enhanced Internals	0.4	+1%	-6%
89297	Gold-Plated Compression Unit	0.67	+1%		+1.0
89298	Pressurised Muzzle	0.4	+1%	-6%
89299	Copper Launch System	0.67	+1%		+1.0
89300	Reinforced Dynamo	0.47	+1%	-7%
89301	Gold-Plated Wiring	0.53	+1%	-8%
89302	Copper Internals	0.47	+1%	-7%
89303	Gold-Plated Internals	0.4	+1%	-6%
89304	Copper Internals	0.67	+1%		+1.0
89305	Reinforced Wiring	1.0	+1%	-10%	+1.0
89306	Enhanced Internals	0.53	+1%	-8%
89307	Pressurised Internals	0.4	+1%	-6%
89308	Enhanced Launch System	0.4	+1%	-6%
89309	Copper Muzzle	0.4	+1%	-6%
89310	Gold-Plated Heat Pump	0.53	+1%	-8%
89311	Pressurised Heat Pump	0.67	+1%		+1.0
89312	Gold-Plated Shells	0.4	+1%	-6%
89313	Copper Compression Unit	0.73	+1%	-6%	+1.0
89314	Gold-Plated Internals	0.4	+1%	-6%
89315	Pressurised Muzzle	0.4	+1%	-6%
89316	Copper Muzzle	0.4	+1%	-6%
89317	Gold-Plated Dynamo	0.67	+1%		+1.0
89318	Gold-Plated Heat Pump	0.67	+1%		+1.0
89319	Gold-Plated Muzzle	0.73	+1%	-6%	+1.0
89320	Pressurised Shells	0.4	+1%	-6%
89321	Reinforced Dynamo	0.93	+1%	-9%	+1.0
89322	Copper Trigger	0.4	+1%	-6%
89323	Copper Shells	0.67	+1%		+1.0
89324	Enhanced Dynamo	0.6	+1%	-9%
89325	Gold-Plated Heat Pump	0.4	+1%	-6%
89326	Enhanced Heat Pump	0.67	+1%		+1.0
89327	Reinforced Wiring	0.67	+1%		+1.0
89328	Pressurised Trigger	0.67	+1%		+1.0
89329	Copper Muzzle	0.4	+1%	-6%
89330	Copper Compression Unit	0.4	+1%	-6%
89331	Reinforced Trigger	0.47	+1%	-7%
89332	Gold-Plated Muzzle	0.67	+1%		+1.0
89333	Reinforced Launch System	0.73	+1%	-6%	+1.0
89334	Pressurised Heat Pump	0.67	+1%		+1.0
89335	Pressurised Launch System	0.6	+1%	-9%
89336	Copper Heat Pump	0.67	+1%		+1.0
89337	Enhanced Internals	0.67	+1%		+1.0
89338	Reinforced Muzzle	0.8	+1%	-7%	+1.0
89339	Enhanced Launch System	0.73	+1%	-6%	+1.0
89340	Gold-Plated Compression Unit	0.4	+1%	-6%
89341	Reinforced Launch System	0.93	+1%	-9%	+1.0
89342	Enhanced Dynamo	0.67	+1%		+1.0
89343	Enhanced Launch System	0.67	+1%		+1.0
89344	Copper Muzzle	0.4	+1%	-6%
89345	Enhanced Launch System	0.67	+1%		+1.0
89346	Copper Dynamo	0.67	+1%		+1.0
89347	Pressurised Shells	0.47	+1%	-7%
89348	Gold-Plated Shells	0.67	+1%		+1.0
89349	Copper Internals	0.67	+1%		+1.0
89350	Pressurised Trigger	0.53	+1%	-8%
89351	Gold-Plated Heat Pump	0.67	+1%		+1.0
89352	Enhanced Muzzle	0.4	+1%	-6%
89353	Gold-Plated Shells	0.53	+1%	-8%
89354	Reinforced Heat Pump	0.47	+1%	-7%
89355	Gold-Plated Launch System	1.0	+1%	-10%	+1.0
89356	Copper Barrel	0.67	+1%		+1.0
89357	Reinforced Muzzle	0.47	+1%	-7%
89358	Reinforced Internals	0.67	+1%		+1.0
89359	Enhanced Internals	0.93	+1%	-9%	+1.0
89360	Reinforced Muzzle	0.73	+1%	-6%	+1.0
89361	Gold-Plated Muzzle	0.67	+1%	-10%
89362	Enhanced Trigger	0.73	+1%	-6%	+1.0
89363	Copper Wiring	0.6	+1%	-9%
89364	Enhanced Barrel	0.4	+1%	-6%
89365	Gold-Plated Muzzle	0.67	+1%		+1.0
89366	Enhanced Wiring	0.73	+1%	-6%	+1.0
89367	Reinforced Launch System	0.67	+1%		+1.0
89368	Pressurised Wiring	0.67	+1%		+1.0
89369	Reinforced Heat Pump	0.67	+1%		+1.0
89370	Reinforced Wiring	0.67	+1%		+1.0
89371	Pressurised Wiring	0.53	+1%	-8%
89372	Reinforced Trigger	0.47	+1%	-7%
89373	Copper Heat Pump	0.67	+1%		+1.0
89374	Copper Shells	0.67	+1%		+1.0
89375	Copper Trigger	0.73	+1%	-6%	+1.0
89376	Copper Compression Unit	0.8	+1%	-7%	+1.0
89377	Copper Trigger	0.67	+1%		+1.0
89378	Pressurised Muzzle	0.67	+1%		+1.0
89379	Enhanced Trigger	0.67	+1%		+1.0
89380	Gold-Plated Shells	0.67	+1%		+1.0
89381	Gold-Plated Internals	0.73	+1%	-6%	+1.0
89382	Copper Internals	0.4	+1%	-6%
89383	Pressurised Internals	0.67	+1%	-10%
89384	Reinforced Muzzle	0.67	+1%		+1.0
89385	Reinforced Dynamo	0.8	+1%	-7%	+1.0
89386	Gold-Plated Launch System	0.4	+1%	-6%
89387	Gold-Plated Muzzle	0.4	+1%	-6%
