sep=,
Seed,Name,Perfection,Weapon_Projectile_Damage,Weapon_Projectile_Rate,Weapon_Projectile_ReloadTime,Weapon_Projectile_ClipSize
69669,Flow Energiser,0.333,+1%,,-2%,+12.0
69670,Surge Amplifier,0.0,+1%,,-2%,
69671,Surge Amplifier,0.407,,+3%,,+12.0
69672,Waveform Energiser,0.125,+1%,,-5%,
69673,Flow Excitor,0.333,+1%,,,+12.0
69674,Surge Capture Cell,0.333,,,-2%,+12.0
69675,Waveform Solidifier,0.333,,,-2%,+12.0
69676,Atomic Energiser,0.37,,+2%,-2%,+12.0
69677,Overloaded Excitor,0.333,+1%,,,+12.0
69678,Flow Energiser,0.542,,,-7%,+12.0
69679,Atomic Capture Cell,0.37,,+2%,,+12.0
69680,Flow Accelerator,0.153,,+4%,-3%,
69681,Waveform Resonator,0.333,,,-2%,+12.0
69682,Surge Capture Cell,0.333,+1%,,,+12.0
69683,Atomic Capture Cell,0.296,,+9%,-2%,
69684,Surge Battery,0.37,,+2%,-2%,+12.0
69685,Surge Injector,0.333,,,-2%,+12.0
69686,Atomic Solidifier,0.037,+1%,+2%,,
69687,Waveform Battery,0.519,,+6%,,+12.0
69688,Flow Excitor,0.037,+1%,+2%,-2%,
69689,Atomic Energiser,0.37,,+2%,,+12.0
69690,Waveform Injector,0.375,,,-3%,+12.0
69691,Overloaded Capture Cell,0.333,,,-2%,+12.0
69692,Overloaded Amplifier,0.333,+1%,,,+12.0
69693,Waveform Energiser,0.333,,,-2%,+12.0
69694,Waveform Energiser,0.37,,+2%,,+12.0
69695,Surge Amplifier,0.667,+1%,+10%,,+12.0
69696,Overloaded Battery,0.222,+1%,+7%,,
69697,Atomic Amplifier,0.0,+1%,,-2%,
69698,Atomic Solidifier,0.259,+1%,+8%,,
69699,Surge Energiser,0.333,+1%,,,+12.0
69700,Surge Resonator,0.333,+1%,,,+12.0
69701,Flow Amplifier,0.333,,,-2%,+12.0
69702,Atomic Injector,0.0,+1%,,-2%,
69703,Surge Excitor,0.37,,+2%,,+12.0
69704,Flow Accelerator,0.333,,,-2%,+12.0
69705,Surge Capture Cell,0.25,+1%,,-8%,
69706,Atomic Accelerator,0.333,+1%,,,+12.0
69707,Waveform Capture Cell,0.333,,,-2%,+12.0
69708,Flow Amplifier,0.333,,,-2%,+12.0
69709,Atomic Injector,0.037,+1%,+2%,,
69710,Flow Resonator,0.125,+1%,,-5%,
69711,Surge Solidifier,0.0,+1%,,-2%,
69712,Overloaded Energiser,0.037,+1%,+2%,,
69713,Flow Resonator,0.583,+1%,,-8%,+12.0
69714,Surge Resonator,0.0,+1%,,-2%,
69715,Surge Excitor,0.759,,+8%,-6%,+12.0
69716,Flow Projector,0.083,+1%,,-4%,
69717,Surge Solidifier,0.037,+1%,+2%,-2%,
69718,Overloaded Energiser,0.037,,+2%,-2%,
69719,Surge Battery,0.25,+1%,,-8%,
69720,Waveform Energiser,0.37,,+2%,,+12.0
69721,Surge Accelerator,0.0,+1%,,-2%,
69722,Waveform Projector,0.5,+1%,,-6%,+12.0
69723,Atomic Battery,0.037,+1%,+2%,-2%,
69724,Overloaded Amplifier,0.491,,+3%,-4%,+12.0
69725,Waveform Accelerator,0.037,,+2%,-2%,
69726,Atomic Excitor,0.0,+1%,,-2%,
69727,Waveform Energiser,0.037,,+2%,-2%,
69728,Overloaded Injector,0.037,,+2%,-2%,
69729,Overloaded Accelerator,0.037,+1%,+2%,,
69730,Surge Injector,0.185,+1%,+6%,,
69731,Surge Capture Cell,0.458,+1%,,-5%,+12.0
69732,Surge Amplifier,0.333,+1%,,,+12.0
69733,Overloaded Amplifier,0.333,+1%,,,+12.0
69734,Flow Projector,0.333,+1%,,,+12.0
69735,Waveform Amplifier,0.37,,+2%,,+12.0
69736,Waveform Resonator,0.37,,+2%,,+12.0
69737,Surge Capture Cell,0.333,,,-2%,+12.0
69738,Surge Projector,0.333,+1%,,,+12.0
69739,Surge Energiser,0.333,+1%,,,+12.0
69740,Atomic Accelerator,0.111,+1%,+4%,,
69741,Surge Projector,0.333,,,-2%,+12.0
69742,Waveform Energiser,0.199,,+3%,-5%,
69743,Overloaded Amplifier,0.37,,+2%,-2%,+12.0
69744,Surge Battery,0.0,+1%,,-2%,
69745,Surge Amplifier,0.593,,+8%,,+12.0
69746,Atomic Resonator,0.333,,,-2%,+12.0
69747,Waveform Energiser,0.37,,+2%,,+12.0
69748,Waveform Capture Cell,0.301,,+8%,-3%,
69749,Atomic Accelerator,0.481,,+5%,,+12.0
69750,Flow Resonator,0.333,+1%,,,+12.0
69751,Overloaded Battery,0.079,,+2%,-3%,
69752,Flow Projector,0.37,,+2%,-2%,+12.0
69753,Surge Battery,0.333,+1%,,,+12.0
69754,Overloaded Capture Cell,0.333,+1%,,,+12.0
69755,Waveform Energiser,0.074,+1%,+3%,,
69756,Overloaded Accelerator,0.333,,,-2%,+12.0
69757,Flow Solidifier,0.333,,,-2%,+12.0
69758,Flow Resonator,0.037,,+2%,-2%,
69759,Overloaded Accelerator,0.333,+1%,,-2%,+12.0
69760,Overloaded Projector,0.074,,+3%,-2%,
69761,Flow Battery,0.333,,,-2%,+12.0
69762,Atomic Solidifier,0.333,+1%,,,+12.0
69763,Waveform Resonator,0.37,,+2%,-2%,+12.0
69764,Surge Resonator,0.185,+1%,+6%,,
69765,Waveform Solidifier,0.37,+1%,+2%,,+12.0
69766,Overloaded Accelerator,0.458,,,-5%,+12.0
69767,Atomic Energiser,0.0,+1%,,-2%,
69768,Waveform Resonator,0.292,+1%,,-9%,
69769,Overloaded Accelerator,0.0,+1%,+1%,,
69770,Atomic Capture Cell,0.333,+1%,,-2%,+12.0
69771,Atomic Energiser,0.037,,+2%,-2%,
69772,Atomic Resonator,0.0,+1%,,-2%,
69773,Flow Solidifier,0.5,,,-6%,+12.0
69774,Overloaded Projector,0.333,+1%,,-2%,+12.0
69775,Waveform Resonator,0.296,+1%,+9%,,
69776,Overloaded Battery,0.333,+1%,,,+12.0
69777,Atomic Accelerator,0.37,+2%,+2%,,
69778,Surge Accelerator,0.481,+1%,+5%,,+12.0
69779,Surge Amplifier,0.37,,+2%,,+12.0
69780,Surge Capture Cell,0.62,,+2%,-8%,+12.0
69781,Overloaded Amplifier,0.0,+1%,,-2%,
69782,Overloaded Projector,0.333,+1%,+1%,,+12.0
69783,Overloaded Battery,0.556,,+7%,,+12.0
69784,Flow Accelerator,0.0,+1%,,-2%,
69785,Overloaded Amplifier,0.042,+1%,,-3%,
69786,Overloaded Energiser,0.037,,+2%,-2%,
69787,Overloaded Excitor,0.079,+1%,+2%,-3%,
69788,Atomic Solidifier,0.333,+1%,,,+12.0
69789,Atomic Capture Cell,0.0,+1%,,-2%,
69790,Overloaded Battery,0.333,,,-2%,+12.0
69791,Overloaded Projector,0.037,+1%,+2%,,
69792,Overloaded Capture Cell,0.333,,+10%,-2%,
69793,Flow Projector,0.333,+1%,,-2%,+12.0
69794,Surge Capture Cell,0.037,+1%,+2%,,
69795,Flow Amplifier,0.037,+1%,+2%,,
69796,Flow Capture Cell,0.333,+1%,,,+12.0
69797,Atomic Battery,0.37,,+2%,,+12.0
69798,Waveform Excitor,0.333,+1%,,,+12.0
69799,Flow Injector,0.333,,,-2%,+12.0
69800,Flow Injector,0.37,+1%,+2%,,+12.0
69801,Atomic Resonator,0.074,+1%,+3%,,
69802,Flow Amplifier,0.417,,,-4%,+12.0
69803,Surge Excitor,0.333,+1%,,-2%,+12.0
69804,Flow Injector,0.037,+1%,+2%,,
69805,Overloaded Solidifier,0.333,,,-2%,+12.0
69806,Waveform Excitor,0.333,+1%,,-2%,+12.0
69807,Atomic Accelerator,0.5,,,-6%,+12.0
69808,Atomic Energiser,0.333,,,-2%,+12.0
69809,Surge Excitor,0.037,+1%,+2%,,
69810,Atomic Projector,0.148,,+5%,-2%,
69811,Atomic Projector,0.333,+1%,,,+12.0
69812,Waveform Injector,0.37,,+2%,,+12.0
69813,Atomic Solidifier,0.19,,+5%,-3%,
69814,Surge Solidifier,0.0,+1%,,-2%,
69815,Overloaded Battery,0.0,+1%,,-2%,
69816,Surge Accelerator,0.333,+1%,,,+12.0
69817,Waveform Resonator,0.37,,+2%,,+12.0
69818,Flow Injector,0.333,,,-2%,+12.0
69819,Atomic Capture Cell,0.333,+1%,,-10%,
69820,Waveform Excitor,0.0,+1%,,-2%,
69821,Waveform Injector,0.12,,+2%,-4%,
69822,Flow Battery,0.375,+1%,,-3%,+12.0
69823,Waveform Battery,0.037,,+2%,-2%,
69824,Atomic Solidifier,0.333,,,-2%,+12.0
69825,Flow Projector,0.037,,+2%,-2%,
69826,Overloaded Injector,0.444,,+4%,,+12.0
69827,Overloaded Excitor,0.333,+1%,,,+12.0
69828,Waveform Energiser,0.037,,+2%,-2%,
69829,Flow Excitor,0.454,,+2%,-4%,+12.0
69830,Atomic Injector,0.333,+1%,,-2%,+12.0
69831,Surge Capture Cell,0.083,+1%,,-4%,
69832,Overloaded Resonator,0.296,,+9%,-2%,
69833,Atomic Amplifier,0.148,+1%,+5%,,
69834,Surge Battery,0.0,+1%,,-2%,
69835,Surge Energiser,0.037,+1%,+2%,,
69836,Atomic Capture Cell,0.37,+2%,+2%,-2%,
69837,Surge Projector,0.162,+1%,+2%,-5%,
69838,Flow Excitor,0.333,+1%,,,+12.0
69839,Flow Excitor,0.481,,+5%,,+12.0
69840,Atomic Capture Cell,0.333,+1%,,,+12.0
69841,Flow Excitor,0.0,+1%,,-2%,
69842,Atomic Amplifier,0.333,+1%,,,+12.0
69843,Atomic Battery,0.37,,+2%,,+12.0
69844,Surge Excitor,0.042,+1%,,-3%,
69845,Waveform Excitor,0.333,,,-2%,+12.0
69846,Atomic Excitor,0.333,,,-2%,+12.0
69847,Waveform Amplifier,0.519,,+6%,,+12.0
69848,Surge Projector,0.333,,+10%,-2%,
69849,Waveform Amplifier,0.037,+1%,+2%,,
69850,Surge Accelerator,0.333,,,-2%,+12.0
69851,Flow Projector,0.037,+1%,+2%,,
69852,Flow Battery,0.111,+1%,+4%,,
69853,Flow Accelerator,0.111,+1%,+4%,-2%,
69854,Flow Solidifier,0.037,+1%,+2%,,
69855,Overloaded Solidifier,0.63,,+9%,,+12.0
69856,Surge Projector,0.079,,+2%,-3%,
69857,Overloaded Injector,0.333,+1%,,-2%,+12.0
69858,Overloaded Amplifier,0.375,+1%,,-3%,+12.0
69859,Flow Capture Cell,0.19,,+5%,-3%,
69860,Flow Energiser,0.333,,,-2%,+12.0
69861,Flow Projector,0.259,,+8%,-2%,
69862,Surge Resonator,0.111,+1%,+4%,,
69863,Flow Excitor,0.037,,+2%,-2%,
69864,Surge Projector,0.259,+1%,+8%,,
69865,Surge Battery,0.333,,,-2%,+12.0
69866,Surge Excitor,0.12,,+2%,-4%,
69867,Flow Accelerator,0.037,,+2%,-2%,
69868,Flow Battery,0.037,,+2%,-2%,
69869,Overloaded Amplifier,0.042,+1%,,-3%,
69870,Flow Amplifier,0.481,+1%,+5%,,+12.0
69871,Surge Projector,0.037,,+2%,-2%,
69872,Surge Projector,0.074,+1%,+3%,,
69873,Flow Energiser,0.037,+1%,+2%,,
69874,Overloaded Projector,0.37,,+2%,,+12.0
69875,Waveform Capture Cell,0.333,,,-2%,+12.0
69876,Waveform Resonator,0.037,,+2%,-2%,
69877,Flow Injector,0.074,,+3%,-2%,
69878,Waveform Amplifier,0.463,+1%,+9%,-6%,
69879,Waveform Projector,0.162,,+2%,-5%,
69880,Waveform Amplifier,0.333,+1%,,,+12.0
69881,Atomic Resonator,0.667,+1%,,-10%,+12.0
69882,Surge Amplifier,0.583,+1%,+10%,-8%,
69883,Overloaded Accelerator,0.37,,+2%,,+12.0
69884,Overloaded Accelerator,0.444,,+4%,,+12.0
69885,Waveform Amplifier,0.037,+1%,+2%,,
69886,Waveform Capture Cell,0.111,+1%,+4%,-2%,
69887,Overloaded Projector,0.333,+1%,,,+12.0
69888,Surge Injector,0.074,+1%,+3%,-2%,
69889,Surge Excitor,0.542,,,-7%,+12.0
69890,Surge Energiser,0.333,,,-2%,+12.0
69891,Waveform Amplifier,0.037,,+2%,-2%,
69892,Flow Projector,0.375,+1%,,-3%,+12.0
69893,Surge Amplifier,0.037,,+2%,-2%,
69894,Surge Resonator,0.37,,+2%,-2%,+12.0
69895,Surge Battery,0.0,+1%,,-2%,
69896,Waveform Projector,0.454,,+2%,-4%,+12.0
69897,Flow Solidifier,0.375,+1%,,-3%,+12.0
69898,Surge Amplifier,0.037,+1%,+2%,,
69899,Surge Battery,0.333,+1%,,,+12.0
69900,Atomic Accelerator,0.0,+1%,,-2%,
69901,Flow Energiser,0.037,+1%,+2%,,
69902,Atomic Energiser,0.375,+1%,,-3%,+12.0
69903,Waveform Solidifier,0.037,+1%,+2%,,
69904,Waveform Energiser,0.111,+1%,+4%,,
69905,Atomic Solidifier,0.458,,,-5%,+12.0
69906,Overloaded Solidifier,0.37,+1%,+2%,,+12.0
69907,Overloaded Battery,0.37,,+2%,,+12.0
69908,Flow Capture Cell,0.333,+1%,,,+12.0
69909,Overloaded Excitor,0.333,+1%,,-2%,+12.0
69910,Atomic Excitor,0.037,+1%,+2%,,
69911,Overloaded Capture Cell,0.125,+1%,,-5%,
69912,Waveform Excitor,0.333,,,-2%,+12.0
69913,Waveform Resonator,0.593,,+8%,-2%,+12.0
69914,Surge Excitor,0.333,+1%,,-2%,+12.0
69915,Flow Injector,0.685,,+6%,-6%,+12.0
69916,Overloaded Injector,0.333,+1%,,,+12.0
69917,Flow Energiser,0.245,,+2%,-7%,
69918,Surge Resonator,0.037,+1%,+2%,,
69919,Overloaded Accelerator,0.5,+1%,,-6%,+12.0
69920,Flow Resonator,0.074,,+3%,-2%,
69921,Flow Capture Cell,0.037,+1%,+2%,,
69922,Surge Amplifier,0.333,,,-2%,+12.0
69923,Overloaded Solidifier,0.481,+1%,+5%,,+12.0
69924,Flow Amplifier,0.333,,,-2%,+12.0
69925,Flow Amplifier,0.556,,+7%,-2%,+12.0
69926,Flow Resonator,0.333,+1%,,,+12.0
69927,Overloaded Capture Cell,0.037,,+2%,-2%,
69928,Surge Solidifier,0.333,+1%,,-2%,+12.0
69929,Atomic Solidifier,0.333,+1%,,,+12.0
69930,Surge Injector,0.111,+1%,+4%,,
69931,Waveform Battery,0.37,,+2%,,+12.0
69932,Surge Excitor,0.111,,+4%,-2%,
69933,Atomic Accelerator,0.037,,+2%,-2%,
69934,Surge Projector,0.037,+1%,+2%,,
69935,Flow Battery,0.333,+1%,,,+12.0
69936,Atomic Excitor,0.333,+1%,,,+12.0
69937,Surge Accelerator,0.458,,,-5%,+12.0
69938,Waveform Capture Cell,0.0,+1%,,-2%,
69939,Surge Excitor,0.0,+1%,,-2%,
69940,Overloaded Resonator,0.519,,+6%,,+12.0
69941,Surge Capture Cell,0.333,+1%,+10%,-2%,
69942,Overloaded Projector,0.0,+1%,,-2%,
69943,Waveform Solidifier,0.407,,+3%,-2%,+12.0
69944,Surge Projector,0.0,+1%,,-2%,
69945,Flow Injector,0.037,+1%,+2%,,
69946,Surge Injector,0.519,,+6%,,+12.0
69947,Surge Battery,0.037,,+2%,-2%,
69948,Atomic Battery,0.333,,,-2%,+12.0
69949,Atomic Battery,0.333,+1%,,-2%,+12.0
69950,Surge Injector,0.079,,+2%,-3%,
69951,Flow Capture Cell,0.037,+1%,+2%,,
69952,Atomic Amplifier,0.0,+1%,,-2%,
69953,Atomic Projector,0.375,+1%,+10%,-3%,
69954,Overloaded Capture Cell,0.417,,,-4%,+12.0
69955,Overloaded Solidifier,0.37,,+2%,,+12.0
69956,Surge Capture Cell,0.074,,+3%,-2%,
69957,Atomic Solidifier,0.0,+1%,,-2%,
69958,Waveform Injector,0.495,,+2%,-5%,+12.0
69959,Atomic Injector,0.37,+1%,+2%,,+12.0
69960,Waveform Accelerator,0.333,,,-2%,+12.0
69961,Surge Projector,0.0,+1%,,-2%,
69962,Flow Projector,0.333,,,-2%,+12.0
69963,Flow Projector,0.375,,,-3%,+12.0
69964,Atomic Excitor,0.037,+1%,+2%,-2%,
69965,Atomic Energiser,0.37,,+2%,,+12.0
69966,Overloaded Resonator,0.407,+1%,+3%,,+12.0
69967,Overloaded Accelerator,0.458,,,-5%,+12.0
69968,Surge Injector,0.185,+1%,+6%,,
69969,Waveform Injector,0.333,,,-2%,+12.0
69970,Overloaded Excitor,0.37,,+2%,,+12.0
69971,Flow Excitor,0.333,+1%,,,+12.0
69972,Surge Battery,0.148,,+5%,-2%,
69973,Waveform Capture Cell,0.074,,+3%,-2%,
69974,Atomic Amplifier,0.333,,,-2%,+12.0
69975,Overloaded Injector,0.333,+1%,,,+12.0
69976,Surge Resonator,0.556,+1%,+7%,,+12.0
69977,Atomic Battery,0.667,,+10%,-10%,
69978,Surge Resonator,0.079,,+2%,-3%,
69979,Overloaded Injector,0.333,+1%,,,+12.0
69980,Waveform Energiser,0.333,+2%,,-2%,
69981,Overloaded Accelerator,0.333,+1%,,,+12.0
69982,Flow Resonator,0.333,,,-2%,+12.0
69983,Overloaded Excitor,0.333,+1%,,-10%,
69984,Surge Energiser,0.519,,+6%,,+12.0
69985,Surge Energiser,0.111,+1%,+4%,,
69986,Overloaded Capture Cell,0.042,+1%,,-3%,
69987,Flow Injector,0.0,+1%,,-2%,
69988,Waveform Battery,0.667,,+10%,,+12.0
69989,Atomic Excitor,0.333,+1%,,,+12.0
69990,Atomic Amplifier,0.148,+1%,+5%,,
69991,Atomic Excitor,0.444,+1%,+4%,,+12.0
69992,Waveform Projector,0.148,,+5%,-2%,
69993,Flow Capture Cell,0.37,,+2%,,+12.0
69994,Overloaded Injector,0.333,,+1%,-2%,+12.0
69995,Overloaded Capture Cell,0.333,,,-2%,+12.0
69996,Atomic Accelerator,0.37,,+2%,,+12.0
69997,Overloaded Energiser,0.25,+1%,,-8%,
69998,Atomic Resonator,0.481,,+5%,,+12.0
69999,Overloaded Injector,0.111,,+4%,-2%,
70000,Surge Excitor,0.333,+1%,+10%,-2%,
70001,Waveform Accelerator,0.037,+1%,+2%,,
70002,Flow Resonator,0.481,,+5%,,+12.0
70003,Overloaded Excitor,0.644,,+6%,-5%,+12.0
70004,Overloaded Solidifier,0.333,,,-2%,+12.0
70005,Flow Injector,0.037,+1%,+2%,,
70006,Surge Amplifier,0.37,,+2%,,+12.0
70007,Atomic Battery,0.333,,,-2%,+12.0
70008,Surge Battery,0.074,+1%,+3%,,
70009,Flow Energiser,0.481,,+5%,,+12.0
70010,Overloaded Resonator,0.37,,+2%,-2%,+12.0
70011,Atomic Energiser,0.667,,+10%,,+12.0
70012,Overloaded Excitor,0.074,,+3%,-2%,
70013,Atomic Battery,0.333,+1%,,,+12.0
70014,Atomic Solidifier,0.074,,+3%,-2%,
70015,Overloaded Solidifier,0.079,,+2%,-3%,
70016,Waveform Accelerator,0.333,,,-2%,+12.0
70017,Atomic Excitor,0.037,,+2%,-2%,
70018,Atomic Excitor,0.111,,+4%,-2%,
70019,Surge Excitor,0.111,+1%,+4%,,
70020,Flow Battery,0.222,+1%,+7%,,
70021,Flow Battery,0.037,,+2%,-2%,
70022,Flow Battery,0.037,+1%,+2%,,
70023,Surge Excitor,0.333,+1%,,-2%,+12.0
70024,Overloaded Accelerator,0.37,,+2%,,+12.0
70025,Overloaded Battery,0.074,+1%,+3%,,
70026,Waveform Amplifier,0.37,,+2%,,+12.0
70027,Atomic Projector,0.333,+1%,,-2%,+12.0
70028,Overloaded Capture Cell,0.333,+1%,,,+12.0
70029,Overloaded Capture Cell,0.162,,+2%,-5%,
70030,Flow Resonator,0.375,+1%,,-3%,+12.0
70031,Surge Resonator,0.37,,+2%,,+12.0
70032,Waveform Solidifier,0.222,,+7%,-2%,
70033,Flow Projector,0.333,+1%,,,+12.0
70034,Waveform Projector,0.333,,,-2%,+12.0
70035,Waveform Projector,0.037,+1%,+2%,,
70036,Waveform Capture Cell,0.333,+1%,,,+12.0
70037,Surge Projector,0.083,+1%,,-4%,
70038,Flow Projector,0.417,,,-4%,+12.0
70039,Overloaded Solidifier,0.12,,+2%,-4%,
70040,Atomic Excitor,0.111,+1%,+4%,,
70041,Atomic Projector,0.292,+1%,,-9%,
70042,Surge Projector,0.333,+1%,,,+12.0
70043,Overloaded Resonator,0.037,,+2%,-2%,
70044,Overloaded Excitor,0.333,,,-2%,+12.0
70045,Atomic Projector,0.208,+1%,,-7%,
70046,Overloaded Solidifier,0.407,,+3%,,+12.0
70047,Waveform Injector,0.111,+1%,+4%,,
70048,Surge Amplifier,0.074,,+3%,-2%,
70049,Atomic Accelerator,0.042,+1%,,-3%,
70050,Overloaded Projector,0.333,,,-2%,+12.0
70051,Flow Amplifier,0.37,,+2%,,+12.0
70052,Waveform Accelerator,0.037,+1%,+2%,,
70053,Waveform Battery,0.259,+1%,+8%,,
70054,Atomic Energiser,0.37,,+2%,,+12.0
70055,Waveform Energiser,0.667,+2%,,,+12.0
70056,Flow Injector,0.148,,+5%,-2%,
70057,Surge Amplifier,0.037,+1%,+2%,,
70058,Atomic Resonator,0.481,,+5%,-2%,+12.0
70059,Waveform Capture Cell,0.222,,+7%,-2%,
70060,Surge Capture Cell,0.667,,+10%,-10%,
70061,Waveform Accelerator,0.037,,+2%,-2%,
70062,Overloaded Accelerator,0.0,+1%,,-2%,
70063,Flow Capture Cell,0.407,,+3%,,+12.0
70064,Overloaded Injector,0.519,,+6%,-2%,+12.0
70065,Surge Capture Cell,0.037,+1%,+2%,,
70066,Atomic Projector,0.037,+1%,+2%,,
70067,Overloaded Accelerator,0.37,,+2%,,+12.0
70068,Atomic Energiser,0.37,,+2%,,+12.0
70069,Flow Accelerator,0.148,+1%,+5%,,
70070,Surge Amplifier,0.037,+1%,+2%,,
70071,Surge Energiser,0.37,,+2%,,+12.0
70072,Atomic Accelerator,0.37,,+2%,,+12.0
70073,Waveform Injector,0.0,+1%,,-2%,
70074,Flow Solidifier,0.333,+1%,,,+12.0
70075,Flow Resonator,0.0,+1%,,-2%,
70076,Atomic Excitor,0.074,,+3%,-2%,
70077,Atomic Accelerator,0.333,+1%,,,+12.0
70078,Flow Projector,0.333,+1%,,,+12.0
70079,Flow Battery,0.37,,+2%,,+12.0
70080,Overloaded Projector,0.037,+1%,+2%,,
70081,Overloaded Solidifier,0.333,+1%,,,+12.0
70082,Overloaded Solidifier,0.111,,+4%,-2%,
70083,Atomic Solidifier,0.333,,,-2%,+12.0
70084,Atomic Projector,0.333,,,-2%,+12.0
70085,Surge Injector,0.037,,+2%,-2%,
70086,Waveform Battery,0.037,+1%,+2%,,
70087,Overloaded Energiser,0.037,+1%,+2%,,
70088,Waveform Amplifier,0.0,+1%,,-2%,
70089,Surge Amplifier,0.333,+1%,,,+12.0
70090,Surge Battery,0.333,,,-2%,+12.0
70091,Flow Excitor,0.222,+1%,+7%,,
70092,Flow Accelerator,0.375,,,-3%,+12.0
70093,Waveform Energiser,0.0,+1%,,-2%,
70094,Waveform Resonator,0.222,+1%,+7%,,
70095,Surge Resonator,0.333,,,-2%,+12.0
70096,Atomic Capture Cell,0.542,+1%,,-7%,+12.0
70097,Overloaded Injector,0.37,,+2%,,+12.0
70098,Overloaded Energiser,0.667,,+10%,,+12.0
70099,Flow Amplifier,0.333,+1%,,,+12.0
70100,Surge Injector,0.375,,,-3%,+12.0
70101,Flow Projector,0.333,,,-2%,+12.0
70102,Waveform Capture Cell,0.333,+1%,,-2%,+12.0
70103,Overloaded Capture Cell,0.037,,+2%,-2%,
70104,Overloaded Battery,0.333,,+10%,-2%,
70105,Surge Capture Cell,0.199,,+3%,-5%,
70106,Surge Energiser,0.037,+1%,+2%,,
70107,Waveform Injector,0.148,+1%,+5%,,
70108,Waveform Projector,0.037,+1%,+2%,,
70109,Waveform Excitor,0.333,+2%,,-2%,
70110,Atomic Battery,0.333,,,-2%,+12.0
70111,Flow Projector,0.333,+1%,,,+12.0
70112,Atomic Battery,0.0,,+1%,-2%,
70113,Atomic Capture Cell,0.074,,+3%,-2%,
70114,Waveform Injector,0.037,+1%,+2%,,
70115,Flow Resonator,0.333,+1%,,,+12.0
70116,Flow Battery,0.63,,+9%,-2%,+12.0
70117,Waveform Solidifier,0.287,+1%,+2%,-8%,
70118,Atomic Projector,0.0,+1%,,-2%,
70119,Flow Projector,0.37,,+2%,,+12.0
70120,Surge Injector,0.037,,+2%,-2%,
70121,Surge Solidifier,0.329,,+2%,-9%,
70122,Flow Battery,0.37,,+2%,,+12.0
70123,Waveform Energiser,0.037,,+2%,-2%,
70124,Flow Resonator,0.037,+1%,+2%,,
70125,Waveform Solidifier,0.333,,,-2%,+12.0
70126,Waveform Energiser,0.333,+1%,,,+12.0
70127,Surge Amplifier,0.0,+1%,,-2%,
70128,Overloaded Capture Cell,0.37,+1%,+2%,,+12.0
70129,Atomic Capture Cell,0.0,+1%,,-2%,
70130,Surge Accelerator,0.519,,+6%,,+12.0
70131,Flow Accelerator,0.037,,+2%,-2%,
70132,Atomic Capture Cell,0.333,+1%,,,+12.0
70133,Atomic Energiser,0.532,,+3%,-5%,+12.0
70134,Atomic Battery,0.37,,+2%,,+12.0
70135,Flow Excitor,0.333,,,-2%,+12.0
70136,Waveform Energiser,0.625,,,-9%,+12.0
70137,Waveform Injector,0.333,+1%,,,+12.0
70138,Flow Accelerator,0.079,,+2%,-3%,
70139,Waveform Accelerator,0.333,,+1%,,+12.0
70140,Waveform Resonator,0.333,+1%,+10%,,
70141,Surge Capture Cell,0.375,,,-3%,+12.0
70142,Surge Battery,0.037,+1%,+2%,,
70143,Overloaded Projector,0.042,+1%,,-3%,
70144,Surge Projector,0.0,+1%,,-2%,
70145,Flow Battery,0.259,+1%,+8%,,
70146,Waveform Capture Cell,0.37,,+2%,,+12.0
70147,Surge Accelerator,0.259,+1%,+8%,-2%,
70148,Overloaded Excitor,0.5,,,-6%,+12.0
70149,Waveform Projector,0.333,,,-2%,+12.0
70150,Flow Injector,0.148,+1%,+5%,,
70151,Surge Resonator,0.0,+1%,,-2%,
70152,Flow Battery,0.042,+1%,,-3%,
70153,Overloaded Accelerator,0.333,+1%,,,+12.0
70154,Flow Amplifier,0.519,+1%,+6%,,+12.0
70155,Waveform Amplifier,0.042,+1%,,-3%,
70156,Waveform Amplifier,0.37,,+2%,,+12.0
70157,Flow Capture Cell,0.333,+1%,,,+12.0
70158,Flow Energiser,0.333,+1%,,,+12.0
70159,Atomic Energiser,0.037,+1%,+2%,-2%,
70160,Waveform Battery,0.204,,+2%,-6%,
70161,Flow Amplifier,0.37,,+2%,,+12.0
70162,Surge Capture Cell,0.333,+1%,,-2%,+12.0
70163,Overloaded Energiser,0.333,+1%,,,+12.0
70164,Atomic Accelerator,0.556,+1%,+7%,,+12.0
70165,Surge Battery,0.333,+1%,,,+12.0
70166,Surge Projector,0.375,+1%,,-3%,+12.0
70167,Flow Energiser,0.333,,,-2%,+12.0
70168,Waveform Injector,0.333,+1%,,,+12.0
70169,Atomic Amplifier,0.625,,,-9%,+12.0
70170,Overloaded Capture Cell,0.444,,+4%,,+12.0
70171,Atomic Solidifier,0.333,+1%,,,+12.0
70172,Flow Solidifier,0.375,,,-3%,+12.0
70173,Atomic Energiser,0.417,,,-4%,+12.0
70174,Surge Capture Cell,0.0,+1%,,-2%,
70175,Overloaded Amplifier,0.074,,+3%,-2%,
70176,Surge Capture Cell,0.037,,+2%,-2%,
70177,Surge Resonator,0.037,,+2%,-2%,
70178,Waveform Accelerator,0.333,,,-2%,+12.0
70179,Overloaded Amplifier,0.245,,+2%,-7%,
70180,Waveform Amplifier,0.37,,+2%,,+12.0
70181,Overloaded Battery,0.037,,+2%,-2%,
70182,Surge Injector,0.333,,,-2%,+12.0
70183,Atomic Excitor,0.407,,+3%,,+12.0
